DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
2017,AE,1117.456,1092.844,1081.363,1081.222,1091.067,1116.569,1133.848,1117.112,1075.348,1028.085,984.749,947.114,916.571,897.629,900.993,940.345,1029.605,1143.089,1268.917,1285.629,1261.113,1218.818,1148.224,1084.93
2017,AE,1042.09,1021.555,1016.42,1018.415,1045.312,1107.305,1194.173,1190.58,1100.633,1017.836,956.403,914.238,890.632,888.627,905.976,930.298,1022.034,1140.237,1249.344,1252.764,1216.394,1146.715,1057.133,976.895
2017,AE,918.955,883.303,868.904,863.553,875.032,933.389,1031.725,1064.927,1057.727,1044.053,1033.771,990.439,942.824,932.175,923.253,970.772,1005.032,1060.526,1164.925,1167.87,1130.744,1065.334,977.289,899.699
2017,AE,841.342,812.276,805.086,805.847,827.599,889.31,995.709,1055.063,1088.287,1118.348,1158.227,1172.38,1175.447,1146.666,1064.478,1051.816,1108.143,1178.542,1267.449,1270.733,1247.373,1212.404,1159.978,1104.475
2017,AE,1086.085,1058.982,1039.777,1039.777,1037.995,1049.713,1081.393,1093.615,1084.977,1048.227,998.356,985.532,1018.494,1007.999,980.232,989.513,1004.187,1063.682,1157.128,1268.739,1287.936,1253.534,1180.216,1103.059
2017,AE,1056.234,1026.143,1011.753,1008.428,1033.235,1092.75,1202.766,1240.39,1174.46,1089.783,1020.958,941.755,903.196,884.32,870.031,879.758,923.743,1020.802,1099.768,1190.497,1195.597,1159.665,1108.465,1042.158
2017,AE,980.133,944.822,921.761,908.494,906.405,921.989,966.918,1005.007,1044.63,1088.214,1097.66,1104.448,1099.228,1095.727,1079.854,1090.098,1103.407,1122.891,1138.816,1180.974,1168.982,1132.789,1083.019,1022.879
2017,AE,931.216,904.848,895.057,900.119,925.534,1000.998,1119.503,1155.138,1086.484,1004.539,927.737,875.348,835.857,810.703,810.349,829.847,886.147,974.258,1055.897,1161.588,1176.777,1129.449,1046.541,965.195
2017,AE,909.028,872.255,856.529,852.352,870.932,929.951,1047.381,1105.209,1103.135,1089.894,1082.529,1059.536,1014.437,920.864,846.103,843.755,895.564,960.404,1028.19,1134.302,1150.822,1101.932,1020.002,941.693
2017,AE,881.76,846.611,830.484,825.542,844.39,906.658,1036.355,1075.281,1025.465,960.596,906.498,870.973,846.771,832.743,833.914,864.524,928.214,1018.151,1124.481,1246.945,1283.116,1236.881,1166.704,1091.046
2017,AE,1042.947,1014.139,1009.643,1015.252,1036.311,1104.461,1223.548,1249.779,1176.513,1084.145,1012.276,949.491,909.81,880.896,868.224,880.416,925.04,1004.582,1087.719,1203.107,1240.528,1203.479,1125.711,1050.293
2017,AE,998.167,962.946,952.677,951.762,971.189,1028.211,1109.424,1113.646,1112.904,1049.529,1024.317,1056.46,976.699,924.574,861.172,862.07,903.46,974.637,1040.09,1117.776,1131.62,1090.091,1025.15,952.566
2017,AE,863.906,836.681,827.77,828.107,851.189,920.443,1046.408,1065.845,1034.05,966.041,953.615,913.68,854.71,818.628,863.81,928.924,1008.331,1058.209,1097.661,1172.815,1174.138,1117.116,1034.308,955.833
2017,AE,894.473,857.603,846.302,847.95,868.586,927.192,1045.848,1105.641,1119.17,1131.174,1132.929,1130.645,1110.45,1112.188,1108.543,1106.949,1116.173,1126.403,1121.314,1146.006,1134.268,1086.129,1020.657,951.248
2017,AE,841.49,807,791.551,786.258,803.936,865.17,981.305,1020.736,1040.097,1045.869,1037.801,1002.684,989.403,946.611,922.604,947.693,995.937,1024.263,1067.554,1136.255,1161.741,1126.123,1061.175,981.634
2017,AE,833.554,800.775,780.005,775.941,788.679,842.802,930.262,982.603,1001.251,1009.218,1021.273,1025.622,1027.77,1014.885,1016.422,1021.788,1045.214,1069.929,1081.589,1114.82,1118.809,1059.373,972.828,893.552
2017,AE,871.037,822.437,795.963,781.896,790.97,838.576,916.028,967.743,964.23,962.142,971.828,989.725,1014.146,1047.395,1088.684,1145.892,1212.941,1268.134,1303.028,1291.894,1318.885,1258.931,1154.062,1049.999
2017,AE,844.578,808.826,791.942,790.683,802.975,859.499,936.961,982.945,1007.247,986.002,971.277,983.582,1012.298,1037.765,1070.287,1120.715,1176.669,1236.175,1264.061,1272.545,1306.454,1252.143,1136.265,1041.65
2017,AE,963.932,916.97,889.453,873.978,878.328,932.926,1008.362,1060.743,1071.615,1060.661,1062.761,1073.88,1081.897,1047.57,1051.683,1080.034,1125.867,1177.869,1192.171,1200.498,1239.141,1184.774,1075.337,973.182
